TT;buffer_h;rope_cap;n_tf_orden;lead_time;lead_time_sd;OTD;avg_wip;cb_util;cb_starv;buf_wait;replica
250;2.0;4;12;16,44148269;10,93861296;63,38888889;27,07456378;82,45792058;17,54207942;0,968891526;15
250;2.0;4;12;12,88103191;9,098780172;77,77777778;19,26355422;77,18250459;22,81749541;0,989034672;16
250;2.0;4;12;24,6130713;19,10512982;46;39,87647508;80,13884976;19,86115024;0,954017446;17
250;2.0;4;12;11,48187341;8,447912877;79,44444444;16,46581527;72,66103784;27,33896216;0,967786775;18
250;2.0;4;12;16,313029;10,76083492;57,77777778;27,52193572;82,5294427;17,4705573;0,915690648;19
250;2.0;4;12;16,6364227;10,86375777;61,72222222;27,28340912;82,42612114;17,57387886;0,963519935;20
250;2.0;4;12;12,47094084;8,61827456;78,22222222;18,51990363;73,70748705;26,29251295;0,945184863;21
250;2.0;4;12;15,75389973;10,97627108;64,22222222;24,32724776;77,71895461;22,28104539;0,987736029;22
250;2.0;4;12;17,77522504;15,69584787;66,11111111;27,84089747;80,86874344;19,13125656;0,991784037;23
250;2.0;4;12;13,46237898;9,435675467;72,16666667;20,38384312;77,57053923;22,42946077;0,990782172;24
250;2.0;4;12;28,44667758;17,92057431;36,27777778;49,55395567;90,34140022;9,658599782;1,052717969;25
250;2.0;4;12;26,78607004;16,69029282;36,72222222;45,48470043;86,96321808;13,03678192;1,017804335;26
250;2.0;4;12;14,26084593;10,38320778;68,16666667;21,6348959;76,79480451;23,20519549;0,974998369;27
250;2.0;4;12;10,1954741;7,263698328;84,5;15,21046058;73,61230792;26,38769208;0,919476575;28
250;2.0;4;12;13,39221819;9,850842325;71,83333333;21,19201361;77,92742997;22,07257003;0,931950329;29
250;1.0;2;12;18,55909538;11,90206065;51,16666667;26,87478999;71,64817031;28,35182969;0,274407854;0
250;1.0;2;12;98,49232013;41,06987502;7,277777778;154,0417391;80,24127108;19,75872892;0,290319758;1
250;1.0;2;12;18,82945575;11,0613341;52,61111111;28,74566048;76,07183475;23,92816525;0,278570023;2
250;1.0;2;12;42,13193341;31,42587008;30,5;62,82648935;75,12702593;24,87297407;0,286031886;3
250;1.0;2;12;28,51009004;19,25159525;36,05555556;41,26049101;72,76429827;27,23570173;0,28741061;4
250;1.0;2;12;103,1347573;71,15798509;12,83333333;167,2630619;78,13088908;21,86911092;0,271843443;5
